No.,Fecha,Hora local,Epicentro Latitud,Epicentro Longitud,Autor Epicentro,Magnitud,Magnitud Tipo,Autor Magnitud,Profundidad,Autor Profundidad,Numero puntos,Intensidad maxima,Escala,Autor Intensidad,Area epicentral
16,1875/05/18,11:15,7.86,-72.42,Servicio Geológico Colombiano,6.8,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,54,10,EMS-98,Servicio Geológico Colombiano,"Cúcuta, Norte de Santander"
17,1882/09/07,03:20,10,-79,"Camacho, E., Viquez, V. (1993)",6.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,17,9,EMS-98,Servicio Geológico Colombiano,"Col&oacute;n, Col&oacute;n-Panam&aacute;"
18,1884/11/05,23:45,5.1,-75.5,"Espinosa Baquero, Armando",6.3,MS,CERESIS,60,Servicio Geol&oacute;gico Colombiano (juicio experto),14,8,EMS-98,Servicio Geológico Colombiano,"Herveo, Tolima"
19,1885/05/25,15:05,2.88,-76.54,Servicio Geológico Colombiano,6.4,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,8,8,EMS-98,Servicio Geológico Colombiano,"El Tambo, Cauca"
20,1903/12/01,08:00,6.78,-76.14,Servicio Geológico Colombiano,5.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,2,7,EMS-98,Servicio Geológico Colombiano,"Frontino, Antioquia"
21,1906/01/31,10:36,0.988,-79.347,ISC-GEM,8.4,MW,ISC-GEM,20,ISC-GEM,40,10,EMS-98,Servicio Geológico Colombiano,"Costa Pacífica, Pacífico"
22,1911/04/10,13:42,7.2,-75.3,"Di Giacomo, D.; Sarabia, A.",6.4,MW,ISC-GEM,120,"Di Giacomo, D.; Sarabia, A.",11,7,EMS-98,Servicio Geológico Colombiano,"Yarumal, Antioquia"
23,1917/08/31,06:36,3.78,-74,Servicio Geológico Colombiano,6.7,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,67,9,EMS-98,Servicio Geológico Colombiano,"Villavicencio, Meta"
24,1923/12/14,05:31,0.87,-77.78,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",6.2,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",14,9,EMS-98,Servicio Geológico Colombiano,"Cumbal, Nariño"
25,1923/12/22,04:56,4.56,-73.51,"Di Giacomo, D.; Sarabia, A.",5.9,MW,Servicio Geológico Colombiano,15,"Di Giacomo, D.; Sarabia, A.",29,8,EMS-98,Servicio Geológico Colombiano,"Medina, Cundinamarca"
26,1925/06/07,18:41,3.96,-76.31,"Di Giacomo, D.; Sarabia, A.",6.1,MW,ISC-GEM,120,"Di Giacomo, D.; Sarabia, A.",34,7.5,EMS-98,Servicio Geológico Colombiano,"Tulu&aacute;, Valle del Cauca"
27,1926/12/18,20:50,0.87,-77.78,Beauval et al (2013),6,MW,Beauval et al (2013),10,Beauval et al (2013),9,8,EMS-98,Servicio Geológico Colombiano,"Cumbal, Nariño"
28,1928/11/01,11:08,4.95,-73.097,"Di Giacomo, D.; Sarabia, A.",5.9,MW,Servicio Geológico Colombiano,15,"Di Giacomo, D.; Sarabia, A.",38,8,EMS-98,Servicio Geológico Colombiano,"Chinavita, Boyacá"
29,1933/02/10,17:00,1.37,-77.58,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",5.7,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",5,8,EMS-98,Servicio Geológico Colombiano,"Linares, Nariño"
30,1935/08/07,04:00,1.05,-77.31,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",6.1,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",23,8,EMS-98,Servicio Geológico Colombiano,"Tangua, Nariño"
31,1935/09/17,23:58,5.09,-76.08,ISC-GEM,6.1,MW,ISC-GEM,15,ISC-GEM,20,8,EMS-98,Servicio Geológico Colombiano,"Pueblo Rico, Risaralda"
32,1935/10/26,20:15,1.07,-77.51,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",5.9,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",20,8,EMS-98,Servicio Geológico Colombiano,"Imués, Nariño"
33,1936/01/09,23:30,1.1,-77.6,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",5.6,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",16,7,EMS-98,Servicio Geológico Colombiano,"Túquerres, Nariño"
34,1936/07/17,12:30,1.17,-77.73,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",6.3,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",37,8,EMS-98,Servicio Geológico Colombiano,"Túquerres, Nariño"
35,1938/02/04,21:23,4.68,-75.69,International Seismological Centre,7,MS,International Seismological Centre,150,International Seismological Centre,86,8,EMS-98,Servicio Geológico Colombiano,"Eje Cafetero, Colombia"
36,1942/05/22,05:30,4.44,-74.64,"Di Giacomo, D.; Sarabia, A.",5.7,MW,Servicio Geológico Colombiano,15,"Di Giacomo, D.; Sarabia, A.",19,7,EMS-98,Servicio Geológico Colombiano,"Girardot, Cundinamarca"
37,1942/12/26,07:30,9.27,-75.52,"Di Giacomo, D.; Sarabia, A.",6.2,MW,ISC-GEM,15,"Di Giacomo, D.; Sarabia, A.",13,8,EMS-98,Servicio Geológico Colombiano,"Santa Cruz de Lorica, Córdoba"
38,1947/07/14,02:01,1.3,-77.23,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",6,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",60,8,EMS-98,Servicio Geológico Colombiano,"San Juan de Pasto, Nariño"
39,1950/07/08,21:35,7.6,-72.86,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",6.2,MW,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",10,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",41,9,EMS-98,Servicio Geológico Colombiano,"Arboledas, Norte de Santander"
40,1952/02/14,16:03,7.36,-76.37,ISC-GEM,5.9,MW,ISC-GEM,20,ISC-GEM,6,7,EMS-98,Servicio Geológico Colombiano,"Mutatá, Antioquia"
41,1953/12/22,23:45,1.09,-77.59,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",5.8,MW,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",10,"Servicio Geol&oacute;gico Colombiano (Beauval et al., 2010)",17,8,EMS-98,Servicio Geológico Colombiano,"Guaitarilla, Nariño"
42,1957/04/21,16:12,6.868,-72.095,ISC-GEM,6.6,MW,ISC-GEM,25,ISC-GEM,53,7,EMS-98,Servicio Geológico Colombiano,"Málaga, Santander"
